ìÂ;ìÀ
5.6770E-02;1.1354E-06
5.6796E-02;1.1359E-06
5.6919E-02;1.1384E-06
5.6967E-02;1.1393E-06
5.7001E-02;1.1400E-06
5.7038E-02;1.1408E-06
5.7150E-02;1.1430E-06
5.7157E-02;1.1431E-06
5.7318E-02;1.1464E-06
5.7347E-02;1.1469E-06
5.7392E-02;1.1478E-06
5.7478E-02;1.1496E-06
5.7478E-02;1.1496E-06
5.7522E-02;1.1504E-06
5.7575E-02;1.1515E-06
5.7582E-02;1.1516E-06
5.7712E-02;1.1542E-06
5.7727E-02;1.1545E-06
5.7809E-02;1.1562E-06
5.7832E-02;1.1566E-06
5.7943E-02;1.1589E-06
5.7947E-02;1.1589E-06
5.8133E-02;1.1627E-06
5.8137E-02;1.1627E-06
5.8212E-02;1.1642E-06
5.8290E-02;1.1658E-06
5.8480E-02;1.1696E-06
5.8528E-02;1.1706E-06
5.8569E-02;1.1714E-06
5.8595E-02;1.1719E-06
5.8674E-02;1.1735E-06
5.8756E-02;1.1751E-06
5.8804E-02;1.1761E-06
5.8871E-02;1.1774E-06
5.8931E-02;1.1786E-06
5.8975E-02;1.1795E-06
5.9031E-02;1.1806E-06
5.9035E-02;1.1807E-06
5.9121E-02;1.1824E-06
5.9128E-02;1.1826E-06
5.9143E-02;1.1829E-06
5.9154E-02;1.1831E-06
5.9158E-02;1.1832E-06
5.9258E-02;1.1852E-06
5.9281E-02;1.1856E-06
5.9311E-02;1.1862E-06
5.9474E-02;1.1895E-06
5.9482E-02;1.1896E-06
5.9553E-02;1.1911E-06
5.9709E-02;1.1942E-06
5.9828E-02;1.1966E-06
5.9922E-02;1.1984E-06
5.9948E-02;1.1990E-06
6.0063E-02;1.2013E-06
6.0141E-02;1.2028E-06
6.0361E-02;1.2072E-06
6.0458E-02;1.2092E-06
6.0514E-02;1.2103E-06
6.0540E-02;1.2108E-06
6.0585E-02;1.2117E-06
6.0629E-02;1.2126E-06
6.0655E-02;1.2131E-06
6.0674E-02;1.2135E-06
6.0711E-02;1.2142E-06
6.0760E-02;1.2152E-06
6.0786E-02;1.2157E-06
6.0816E-02;1.2163E-06
6.0831E-02;1.2166E-06
6.0939E-02;1.2188E-06
6.0957E-02;1.2191E-06
6.0965E-02;1.2193E-06
6.0965E-02;1.2193E-06
6.1065E-02;1.2213E-06
6.1106E-02;1.2221E-06
6.1118E-02;1.2224E-06
6.1121E-02;1.2224E-06
6.1192E-02;1.2238E-06
6.1214E-02;1.2243E-06
6.1244E-02;1.2249E-06
6.1363E-02;1.2273E-06
6.1401E-02;1.2280E-06
6.1404E-02;1.2281E-06
6.1453E-02;1.2291E-06
6.1468E-02;1.2294E-06
6.1524E-02;1.2305E-06
6.1576E-02;1.2315E-06
6.1643E-02;1.2329E-06
6.1650E-02;1.2330E-06
6.1665E-02;1.2333E-06
6.1688E-02;1.2338E-06
6.1710E-02;1.2342E-06
6.1770E-02;1.2354E-06
6.1770E-02;1.2354E-06
6.1781E-02;1.2356E-06
6.1907E-02;1.2381E-06
6.1948E-02;1.2390E-06
6.1956E-02;1.2391E-06
6.1967E-02;1.2393E-06
6.2004E-02;1.2401E-06
6.2015E-02;1.2403E-06
6.2049E-02;1.2410E-06
6.2157E-02;1.2431E-06
6.2161E-02;1.2432E-06
6.2190E-02;1.2438E-06
6.2205E-02;1.2441E-06
6.2239E-02;1.2448E-06
6.2243E-02;1.2449E-06
6.2272E-02;1.2454E-06
6.2272E-02;1.2454E-06
6.2377E-02;1.2475E-06
6.2448E-02;1.2490E-06
6.2496E-02;1.2499E-06
6.2511E-02;1.2502E-06
6.2645E-02;1.2529E-06
6.2656E-02;1.2531E-06
6.2731E-02;1.2546E-06
6.2813E-02;1.2563E-06
6.2820E-02;1.2564E-06
6.2891E-02;1.2578E-06
6.3137E-02;1.2627E-06
6.3159E-02;1.2632E-06
6.3390E-02;1.2678E-06
6.3695E-02;1.2739E-06
6.3703E-02;1.2741E-06
6.3744E-02;1.2749E-06
6.3841E-02;1.2768E-06
